timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:43:33,b'@Gun_gun999 @arry_wiweko @_ekokuntadhi Ya kalo heinekken msh terpampang dan ikut2an menjual bir nya utk tiket Formula E berarti itu PROMOSI..  TOLOLLL!!!',0,0,1531209689379115009,projonegoro51
2022-05-30 09:43:30,"b'RT @BossTemlen: Ajang internasional Formula E ada sponsor dari perusahan BUMN gak ya? Klo gak ada, itu artinya membuktikan bahwa dalam seka\xe2\x80\xa6'",0,93,1531209678956269568,Julian303
2022-05-30 09:43:25,b'RT @amiir_eka: @Lucknuut Waahhh... Ini yang dimaksud Formula E  sukses    ..\xf0\x9f\x98\x82\n.. jual tiket Formula E saja gak bisa\n apa lagi jual Abud jad\xe2\x80\xa6',0,2,1531209658127396865,amiir_eka
2022-05-30 09:43:21,b'RT @abu_waras: Bani Pekai masih Ribut soal Tribun Sirkuit Formula E yang Roboh sampai suaranya jejeritan sampai ke Pluto.\n\nBani Pekai lupa\xe2\x80\xa6',0,329,1531209639643054080,Ododiwis
2022-05-30 09:43:19,b'RT @pengarang_sajak: Anjing2 piaraan balekota pernah ngomong ga kalo bahan2 Atap Tribun Formula Eceng Gondok import dr China..?\n\nhttps://t.\xe2\x80\xa6',0,178,1531209633851129859,Saliminbunyi_
2022-05-30 09:43:16,b'@lho_koq @Lucknuut \xf0\x9f\x98\x82 Formula E ibarat prestasi Abud yang jelas mendunia masalahnya..\n... Pokoknya mendunia \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/otjIoMSKr5',0,0,1531209620530012162,amiir_eka
2022-05-30 09:43:16,"b'RT @Gandawan: Kemenparekraf dan Kementerian BUMN, kalian dimana? Sedang berbuat apa?\nFormula E itu manfaatnya untuk rakyat dan bangsa Indon\xe2\x80\xa6'",0,363,1531209619661475840,tonoblk
2022-05-30 09:43:08,b'RT @smile_guys: @MNW_MNW_MNW MANTAAAAAAB......\nHABISKAN JANGAN SISAKAN APBD..\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\n.\n.\nKamu Gak Tau Ya @DKIJakarta WAJIB Bayar Asuransi Form\xe2\x80\xa6',0,7,1531209588116459522,FeroS62733512
2022-05-30 09:43:02,b'RT @pengarang_sajak: Jaman sudah 6G..\n\nCuma kadroenz goblox yg mau beli tiket nonton Formula E gaya layar tancap di Ibukota..\n\nPen gue gamp\xe2\x80\xa6',0,35,1531209561314832384,Saliminbunyi_
2022-05-30 09:42:54,b'RT @Gandawan: Mungkinkah @erickthohir enggan BUMN jadi sponsor Formula E karena enggan pakai pawang hujan? \xf0\x9f\x99\x82\n#NanyaDoang #MasihHeran #Butuh\xe2\x80\xa6',0,2,1531209526430486529,pasadenasl
